Prob048_m2014_q4c,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob049_m2014_q4b,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob050_kmap1,3,20,0.15,R,R,.,R,R,R,R,R,R,R,R,.,.,R,R,R,R,R,R,R
Prob051_gates4,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob052_gates100,17,20,0.85,.,.,.,.,.,.,.,.,.,.,R,R,.,.,.,R,.,.,.,.
Prob053_m2014_q4d,0,20,0.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Prob054_edgedetect,17,20,0.85,.,.,.,.,.,.,.,.,R,.,R,.,.,.,.,.,.,.,.,R
Prob055_conditional,18,20,0.9,.,R,.,.,.,.,.,.,.,.,.,.,.,.,R,.,.,.,.,.
Prob056_ece241_2013_q7,15,20,0.75,.,.,.,.,.,.,.,R,.,R,R,.,.,.,.,.,R,R,.,.
Prob057_kmap2,1,20,0.05,R,R,R,R,R,R,R,R,R,R,R,R,R,.,R,R,R,R,R,R
Prob058_alwaysblock2,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob059_wire4,12,20,0.6,.,.,.,.,.,R,R,.,.,.,R,.,C,C,C,R,.,C,.,.
Prob060_m2014_q4k,18,20,0.9,.,.,.,.,.,m,.,.,.,.,.,.,.,.,w,.,.,.,.,.
Prob061_2014_q4a,19,20,0.95,.,.,.,.,.,.,.,.,R,.,.,.,.,.,.,.,.,.,.,.
Prob062_bugs_mux2,0,20,0.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Prob063_review2015_shiftcount,11,20,0.55,R,R,R,.,R,R,.,.,.,.,R,.,.,.,.,.,R,.,R,R
Prob064_vector3,18,20,0.9,.,.,.,.,.,R,.,.,.,.,.,.,R,.,.,.,.,.,.,.
Prob065_7420,16,20,0.8,.,.,.,.,.,R,R,.,.,R,.,R,.,.,.,.,.,.,.,.
Prob066_edgecapture,0,20,0.0,R,R,R,R,R,R,R,R,R,r,R,R,R,R,r,R,R,R,R,R
Prob067_countslow,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob068_countbcd,6,20,0.3,r,p,.,r,.,r,.,R,.,w,.,R,r,r,.,w,R,R,R,R
Prob069_truthtable1,8,20,0.4,R,.,.,.,R,R,R,R,R,R,R,R,.,.,.,.,R,R,R,.
Prob070_ece241_2013_q2,6,20,0.3,R,R,R,.,R,R,R,.,R,R,R,.,R,.,R,R,.,R,R,.
Prob071_always_casez,19,20,0.95,.,.,.,.,.,.,.,.,.,.,.,.,.,R,.,.,.,.,.,.
Prob072_thermostat,14,20,0.7,.,.,.,.,.,R,.,R,.,.,.,.,R,.,R,R,.,.,.,R
Prob073_dff16e,17,20,0.85,.,.,.,.,.,.,.,r,.,.,.,R,.,R,.,.,.,.,.,.
Prob074_ece241_2014_q4,2,20,0.1,R,R,m,R,.,R,m,m,.,m,m,R,m,m,R,R,w,R,R,m
Prob075_counter_2bc,17,20,0.85,.,.,.,.,.,.,.,.,.,R,.,R,.,.,.,.,.,R,.,.
Prob076_always_case,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob077_wire_decl,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob078_dualedge,11,20,0.55,.,R,R,R,R,R,R,.,R,R,.,.,.,R,.,.,.,.,.,.
Prob079_fsm3onehot,15,20,0.75,.,.,.,R,.,.,.,R,.,.,.,.,.,C,R,R,.,.,.,.
Prob080_timer,13,20,0.65,R,R,.,.,R,R,.,.,.,R,.,.,.,R,R,.,.,.,.,.
Prob081_7458,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob082_lfsr32,0,20,0.0,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
Prob083_mt2015_q4b,8,20,0.4,.,.,R,R,.,R,w,R,R,R,.,R,R,.,.,.,R,.,R,R
Prob084_ece241_2013_q12,11,20,0.55,.,.,.,.,.,R,m,.,R,.,w,w,.,w,w,.,w,w,.,.
Prob085_shift4,15,20,0.75,.,.,R,.,.,R,.,.,R,.,.,.,.,.,R,.,.,.,.,R
Prob086_lfsr5,0,20,0.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Prob087_gates,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob088_ece241_2014_q5b,17,20,0.85,.,R,.,.,.,.,.,.,.,.,.,.,.,.,R,.,.,.,.,R
Prob089_ece241_2014_q5a,0,20,0.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Prob090_circuit1,19,20,0.95,.,.,.,.,.,.,.,.,.,.,w,.,.,.,.,.,.,.,.,.
Prob091_2012_q2b,9,20,0.45,.,R,R,R,R,R,.,R,.,.,.,R,.,R,.,.,R,R,.,R
Prob092_gatesv100,8,20,0.4,R,R,.,R,.,.,R,.,.,R,R,.,R,R,C,R,.,C,C,.
Prob093_ece241_2014_q3,2,20,0.1,R,R,R,R,R,R,R,R,R,R,R,R,R,R,.,R,R,.,R,R
